/ 338 2 0 558 2
z 461 2 1 777 1
z 432 2 0 670 8
/ 494 2 0 538 4
z 805 2 1 466 3
z 534 2 1 662 1
/ 411 2 0 328 6
/ 503 2 0 283 2
z 591 2 1 385 7
/ 363 2 0 446 2
z 376 2 1 514 9
/ 360 2 1 653 3
z 566 2 1 354 3
/ 427 2 0 338 6
z 441 2 0 637 8
/ 661 2 0 224 8
/ 440 2 0 597 2
/ 475 2 0 746 2
z 442 2 1 632 9
z 516 2 1 393 1
z 462 2 1 626 7
/ 427 2 0 592 6
/ 398 2 0 303 4
/ 458 2 0 429 6
/ 341 2 0 219 6
z 530 2 1 787 9
/ 362 2 0 209 4
z 571 2 1 533 7
z 498 2 1 564 9
/ 417 2 0 685 6
z 408 2 1 772 7
z 471 2 1 640 3
/ 392 2 1 402 7
z 793 2 1 723 3
z 477 2 1 600 7
z 493 2 1 384 1
z 460 2 1 537 9
/ 495 2 0 317 4
/ 421 2 0 439 8
/ 405 2 0 768 6
/ 316 2 0 749 2
z 469 2 1 594 3
z 478 2 1 393 9
/ 460 2 0 586 4
/ 403 2 1 600 3
z 907 2 1 523 7
z 424 2 1 770 9
/ 554 2 0 385 8
z 457 2 1 530 7
/ 397 2 0 395 4
/ 437 2 0 769 6
/ 347 2 0 653 2
z 452 2 1 574 7
z 447 2 0 755 6
z 534 2 1 270 7
z 633 2 1 671 9
/ 401 2 0 682 4
z 548 2 1 292 1
/ 393 2 0 509 2
/ 449 2 0 367 2
z 487 2 1 801 9
z 531 2 1 327 9
/ 535 2 0 598 8
z 473 2 1 283 3
z 558 2 1 693 9
z 430 2 1 661 9
z 545 2 1 349 7
z 577 2 1 637 1
z 415 2 1 688 7
/ 364 2 0 338 2
z 535 2 1 218 7
z 550 2 1 298 7
/ 460 2 0 352 6
z 586 2 1 294 3
/ 549 2 0 767 6
z 484 2 1 753 3
z 456 2 1 423 1
/ 493 2 0 761 2
/ 459 2 0 602 4
/ 418 2 0 488 4
z 460 2 1 538 9
z 359 2 1 246 9
z 534 2 1 611 1
/ 471 2 0 790 6
/ 325 2 0 759 6
z 398 2 1 499 1
z 584 2 1 488 3
z 461 2 1 258 9
/ 588 2 0 718 2
z 490 2 1 437 9
z 502 2 1 704 1
/ 515 2 0 583 8
/ 469 2 0 605 2
/ 437 2 0 677 4
z 512 2 1 601 9
z 398 2 1 358 7
z 495 2 1 526 1
/ 527 2 0 754 4
z 476 2 1 210 3
/ 498 2 0 502 2
/ 435 2 0 279 4
/ 450 2 0 681 8
/ 405 2 0 387 6
/ 383 2 0 288 6
/ 337 2 0 620 8
z 456 2 1 347 9
/ 486 2 0 584 8
z 416 2 1 468 1
z 428 2 1 648 1
/ 394 2 0 250 2
/ 426 2 0 329 2
z 600 2 1 420 7
z 508 2 1 420 3
/ 373 2 0 520 2
z 470 2 1 414 9
/ 471 2 0 498 8
